dataset,model,seed,avg_user_gate,avg_item_gate,std_user_gate,std_item_gate,min_user_gate,max_user_gate,min_item_gate,max_item_gate,review_scale,rmse,mae,checkpoint_path
Amazon_All_Beauty_18,CFARG,42,0.2443256378173828,0.28943294286727905,0.17049434781074524,0.18974068760871887,0.01794639229774475,0.7409186363220215,0.014123469591140747,0.47291266918182373,0.0994635820388794,4.812387466430664,4.729743957519531,./outputs/cfarg_Amazon_All_Beauty_18_42_20260605_163905/cfarg_best.pt
Amazon_Musical_Instruments_14,CFARG,42,0.9998359084129333,0.9999714493751526,0.000430125102866441,0.00011583587911445647,0.996815025806427,0.9999991655349731,0.9991088509559631,1.0,0.4287165105342865,0.8426068425178528,0.6495969295501709,./outputs/cfarg_Amazon_Musical_Instruments_14_42_20260605_164512/cfarg_best.pt
Amazon_Musical_Instruments_14,CFARG,43,0.999978244304657,0.9998331665992737,5.667197547154501e-05,0.0006380166159942746,0.9994029998779297,0.9999994039535522,0.9906874299049377,0.9999905824661255,0.4334867298603058,0.830964982509613,0.6183923482894897,./outputs/cfarg_Amazon_Musical_Instruments_14_43_20260605_164618/cfarg_best.pt
Amazon_Musical_Instruments_14,CFARG,44,0.9999756217002869,0.9999972581863403,4.767670179717243e-05,9.550692084303591e-06,0.9994232654571533,0.9999973773956299,0.9998346567153931,0.9999997615814209,0.4326695203781128,0.8372076153755188,0.6249021887779236,./outputs/cfarg_Amazon_Musical_Instruments_14_44_20260605_164722/cfarg_best.pt
Amazon_Office_Products_14,CFARG,42,0.9999945163726807,1.0,5.0262227887287736e-05,9.855578042561319e-08,0.9967796206474304,0.9999998807907104,0.9999994039535522,1.0,0.4566027522087097,0.8566411733627319,0.6482117176055908,./outputs/cfarg_Amazon_Office_Products_14_42_20260605_164707/cfarg_best.pt
Amazon_Digital_Music_14,CFARG,42,0.9980311989784241,0.9999945759773254,0.004897207487374544,7.793605618644506e-06,0.8450073599815369,0.999984622001648,0.9998182654380798,0.9999988079071045,0.5097736716270447,0.8843096494674683,0.6476345062255859,./outputs/cfarg_Amazon_Digital_Music_14_42_20260605_164929/cfarg_best.pt
Amazon_Office_Products_14,CFARG,43,0.9999972581863403,0.9999901056289673,2.0797547222173307e-06,7.701334652665537e-06,0.999962568283081,0.9999997615814209,0.9998266100883484,0.9999954700469971,0.44951626658439636,0.8553520441055298,0.6345331072807312,./outputs/cfarg_Amazon_Office_Products_14_43_20260605_165034/cfarg_best.pt
Amazon_Office_Products_14,CFARG,44,0.9999947547912598,0.9999979138374329,0.00016008986858651042,1.1510223885125015e-06,0.9883691072463989,0.9999990463256836,0.999984622001648,0.999998927116394,0.45110800862312317,0.8534611463546753,0.6222553253173828,./outputs/cfarg_Amazon_Office_Products_14_44_20260605_165410/cfarg_best.pt
Amazon_Digital_Music_14,CFARG,43,0.9999756813049316,0.9999954700469971,3.931148239644244e-05,1.111399797082413e-05,0.9990997314453125,0.9999983310699463,0.9995185136795044,0.9999991655349731,0.508118748664856,0.8823518753051758,0.6436281800270081,./outputs/cfarg_Amazon_Digital_Music_14_43_20260605_165508/cfarg_best.pt
Amazon_Digital_Music_14,CFARG,44,0.9993448853492737,0.9999994039535522,0.0013035485753789544,2.0087484244868392e-06,0.9736183285713196,0.9999716281890869,0.9999370574951172,0.9999998807907104,0.486662358045578,0.8845925331115723,0.6409093737602234,./outputs/cfarg_Amazon_Digital_Music_14_44_20260605_170056/cfarg_best.pt
